EventName,Casino,Location,Offer,StartDate,EndDate
Easter Ham Giveaway,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Complimentary Easter ham for Lucky Star Rewards members,4/12/2025 14:00,4/12/2025 18:00
Easter Hot Seat Drawings,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Chance to win an electric griddle and $100 in free play every 30 minutes,4/12/2025 16:00,4/12/2025 18:00
"$250,000 Free Play Giveaway",Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","250 winners of $1,000 in free play; swipe Muckleshoot Rewards card at kiosk to participate",4/1/2025 7:00,4/2/2025 23:59
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/6/2025 10:00,4/6/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/7/2025 10:00,4/7/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/13/2025 10:00,4/13/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/14/2025 10:00,4/14/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/20/2025 10:00,4/20/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/21/2025 10:00,4/21/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/27/2025 10:00,4/27/2025 20:00
Dreamer's Collection Bedding Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Redeem gifts from 10am-8pm on Sundays & Mondays in April. Limit one per person, per week. While supplies last.",4/28/2025 10:00,4/28/2025 20:00
Easter Ham Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 1,000 points to receive a free spiral sliced ham",4/17/2025 10:00,4/17/2025 20:00
Lucky Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 1,000 points to play up to 8 times for food & free play prizes",4/3/2025 0:00,4/3/2025 23:59
Lucky Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 1,000 points to play up to 8 times for food & free play prizes",4/10/2025 0:00,4/10/2025 23:59
Lucky Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 1,000 points to play up to 8 times for food & free play prizes",4/17/2025 0:00,4/17/2025 23:59
Lucky Kiosk Game,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 1,000 points to play up to 8 times for food & free play prizes",4/24/2025 0:00,4/24/2025 23:59
"$70,000 8th Anniversary Hot Seats",ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$17,500 in promo play prizes, including a $5,500 promo play grand prize hot seat",4/3/2025 18:00,4/3/2025 22:00
"$70,000 8th Anniversary Hot Seats",ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$17,500 in promo play prizes, including a $5,500 promo play grand prize hot seat",4/10/2025 18:00,4/10/2025 22:00
"$70,000 8th Anniversary Hot Seats",ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$17,500 in promo play prizes, including a $5,500 promo play grand prize hot seat",4/17/2025 18:00,4/17/2025 22:00
"$70,000 8th Anniversary Hot Seats",ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$17,500 in promo play prizes, including a $5,500 promo play grand prize hot seat",4/24/2025 18:00,4/24/2025 22:00
Rescheduled: Hot Seats,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$17,500 in cash prizes, including a $5,500 cash grand prize hot seat",4/18/2025 18:00,4/18/2025 22:00
April Gift Pickup - Water Flosser,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Water Flosser,4/1/2025 12:00,4/1/2025 20:00
April Gift Pickup - Water Flosser,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Water Flosser,4/2/2025 12:00,4/2/2025 20:00
April Gift Pickup - Bath Towel Set,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss 6 pc Bath Towel Set,4/8/2025 12:00,4/8/2025 20:00
April Gift Pickup - Bath Towel Set,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss 6 pc Bath Towel Set,4/9/2025 12:00,4/9/2025 20:00
April Gift Pickup - Bathrobe with Slippers,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss His/Hers Bathrobe with Slippers,4/15/2025 12:00,4/15/2025 20:00
April Gift Pickup - Bathrobe with Slippers,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss His/Hers Bathrobe with Slippers,4/16/2025 12:00,4/16/2025 20:00
April Gift Pickup - Earth Bath Mat,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss Earth Bath Mat,4/22/2025 12:00,4/22/2025 20:00
April Gift Pickup - Earth Bath Mat,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss Earth Bath Mat,4/23/2025 12:00,4/23/2025 20:00
April Gift Pickup - Toothbrush Organizer & Dispenser,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss Toothbrush Organizer & Dispenser,4/29/2025 12:00,4/29/2025 20:00
April Gift Pickup - Toothbrush Organizer & Dispenser,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Free gift: Bliss Toothbrush Organizer & Dispenser,4/30/2025 12:00,4/30/2025 20:00
Status Point Madness,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x to 6x status points all day long,4/20/2025 6:00,4/21/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/1/2025 6:00,4/2/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/2/2025 6:00,4/3/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/8/2025 6:00,4/9/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/9/2025 6:00,4/10/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/15/2025 6:00,4/16/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/16/2025 6:00,4/17/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/22/2025 6:00,4/23/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/23/2025 6:00,4/24/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/29/2025 6:00,4/30/2025 5:59
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x status points with Forever Rewards card,4/30/2025 6:00,5/1/2025 5:59
Peak to Pavement Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry for each day you play; bonus entries for status points,4/1/2025 0:00,4/26/2025 23:59
Entry Multiplier Friday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/4/2025 0:00,4/4/2025 23:59
Entry Multiplier Friday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/11/2025 0:00,4/11/2025 23:59
Entry Multiplier Friday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/18/2025 0:00,4/18/2025 23:59
Entry Multiplier Friday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/25/2025 0:00,4/25/2025 23:59
Entry Multiplier Sunday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/6/2025 0:00,4/6/2025 23:59
Entry Multiplier Sunday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/13/2025 0:00,4/13/2025 23:59
Entry Multiplier Sunday,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Multiple entries for every status point earned,4/20/2025 0:00,4/20/2025 23:59
Grand Finale Entry Activation,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Activate entries for final drawing,4/26/2025 14:00,4/26/2025 18:40
Grand Finale Hot Seat Drawings,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","$1,000 Promo Play every 20 minutes",4/26/2025 15:00,4/26/2025 18:40
2025 Toyota Tundra Grand Prize Drawing,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Win a 2025 Toyota Tundra,4/26/2025 19:00,4/26/2025 19:00
Complimentary Night Stay Offer,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Book with rewards account,4/1/2025 0:00,4/30/2025 23:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/3/2025 6:00,4/5/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/5/2025 6:00,4/7/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/7/2025 6:00,4/8/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/10/2025 6:00,4/12/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/13/2025 6:00,4/15/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/17/2025 6:00,4/20/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/20/2025 6:00,4/22/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/24/2025 6:00,4/25/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/25/2025 6:00,4/27/2025 5:59
$35 Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/28/2025 6:00,4/29/2025 5:59
$15 Dining & Shopping Rewards,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/1/2025 0:00,4/15/2025 23:59
