EventName,Casino,Location,Offer,StartDate,EndDate,OfferType
Tower Hotel Offer,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801","Two standard room nights, Sun-Thur",2025-07-01T00:00-07:00,2025-08-28T23:59-07:00,Hospitality-Rewards
SagSpa Summer Offer,Legends Casino,"580 Fort Road, Toppenish, WA","Enjoy three free services: Sage Day Pass with Wellness Pool, Aqua Glow Facial, Deluxe Mani & Pedi. Choose one multiple times or all three. Mention code 'SUMMER'",2025-07-01T00:00-07:00,2025-09-30T23:59-07:00,Offer
Freeplay Offer,Wildhorse Casino,"46510 Wildhorse Blvd. Pendleton, OR 97801",$40 total freeplay per offer period,2025-07-01T04:00-07:00,2025-08-31T23:59-07:00,Free-Play
Dining & Shopping Rewards,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$15 Dining & Shopping Rewards,2025-08-01T00:00-07:00,2025-08-16T23:59-07:00,Hospitality-Rewards
Acadia Adventure Sweepstakes,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Play throughout August for a chance to win a 2025 GMC Acadia Denali. Free entry each day with ilani rewards account plus additional entries for every status point earned.,2025-08-01T00:00-07:00,2025-08-31T23:59-07:00,Giveaway
Acadia Adventure Sweepstakes,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry Multiplier Sundays & Mondays,2025-08-01T00:00-07:00,2025-09-01T23:59-07:00,Giveaway
Acadia Adventure Sweepstakes,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Entry Earned Daily + Multipliers on Sundays & Mondays,2025-08-01T00:00-07:00,2025-09-01T23:59-07:00,Giveaway
7 Status Point Challenge,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$10 Promo Play for 10 Status Points,2025-08-01T06:00-07:00,2025-09-01T05:59-07:00,Free-Play
7 Status Point Challenge,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","Earn 10 Points, Get $10 Promo Play (Redeem Sept 7–12)",2025-08-01T06:00-07:00,2025-09-01T05:59-07:00,Giveaway
$10 Free Play,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",$10 free play,2025-08-09T07:00-07:00,2025-08-14T23:59-07:00,Free-Play
Star Mail Offer Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$15 Free Play,2025-08-09T10:00-07:00,2025-08-15T23:59-07:00,Free-Play
$25 Lucky Bucks,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",$25 Lucky Bucks one-time offer,2025-08-11T00:00-07:00,2025-08-14T23:59-07:00,Free-Play
$15 Off Food,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",$15 off food once per week,2025-08-11T00:00-07:00,2025-08-14T23:59-07:00,Hospitality-Rewards
2x Your Choice,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347",Choose either $25 free play or 2x slot points once per week,2025-08-11T00:00-07:00,2025-08-17T23:59-07:00,Free-Play
$50 Xtra Rewards,Legends Casino,"580 Fort Road, Toppenish, WA",$50 Xtra Rewards free play added to your account each week,2025-08-11T10:00-07:00,2025-08-17T23:59-07:00,Free-Play
2x Status Points,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",2x Status Points,2025-08-12T06:00-07:00,2025-08-14T05:59-07:00,Point-Based
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$20 Free Play,2025-08-13T00:00-07:00,2025-08-19T23:59-07:00,Free-Play
Summer Stack-Up,Angel of the Winds Casino,"3438 Stoluckquamish Lane, Arlington, Washington 98223","Win up to $5,000 Free Play weekly; Earn 750 base points playing slots to receive a wheel spin; Up to 3 spins per week",2025-08-13T08:00-07:00,2025-08-13T20:00-07:00,Free-Play
$5 Weekly Free Play,Angel of the Winds Casino,"3438 Stoluckquamish Lane, Arlington, Washington 98223","Win your share of $760,500 in promo chips; Earn 25 base points at any table game",2025-08-13T09:00-07:00,2025-08-13T21:00-07:00,Free-Play
Wearable Wednesdays,Lucky Dog Casino,"19330 N US HWY 101, Skokomish, WA 98584",Earn 50 base points and get a free wearable,2025-08-13T10:00-07:00,2025-08-13T20:00-07:00,Giveaway
Pepsi Giveaway,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Earn 500 points between 00:00-19:59, redeem 10:00-20:00 for a 12-pack of Pepsi products (limit 4 packs)",2025-08-13T10:00-07:00,2025-08-13T20:00-07:00,Giveaway
Star Mail Bonus Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$10 Free Play,2025-08-13T10:00-07:00,2025-08-13T23:59-07:00,Free-Play
Lightweight Travel Set Giveaway,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Urban Trek Duffle,2025-08-13T12:00-07:00,2025-08-13T20:00-07:00,Giveaway
Prize on the Rise Progressive Drawing,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404","Drawings start at $1,000 free play. 1 free entry every week. 5x entries on Fridays. 400 points = 1 additional entry. The stakes grow every hour. Second-place winners score $500 free play guaranteed.",2025-08-13T15:00-07:00,2025-08-13T20:00-07:00,Giveaway
Jail House Rock & Riches,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Win share of over $130,000",2025-08-13T17:00-07:00,2025-08-13T21:00-07:00,Offer
"$7,000,000 Celebration Drawings",Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","10 guests win up to $50,000 freeplay",2025-08-13T17:00-07:00,2025-08-13T22:00-07:00,Free-Play
Nightly Grand Prize Cash Vault,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","Win up to $200,000",2025-08-13T22:00-07:00,2025-08-13T23:59-07:00,Giveaway
Pit Stop Point Multiplier,Emerald Queen Casino,"1820 East 29th Street, Tacoma, WA 98404",Earn up to 25x rewards points!,2025-08-14T00:00-07:00,2025-08-14T23:59-07:00,Point-Based
Multiplier Thursdays,Spirit Mountain Casino,"27100 SW Salmon River Hwy, Grand Ronde, OR 97347","Slot point multipliers up to 5x; 2x on first Thursday, increasing each week if consecutive",2025-08-14T00:00-07:00,2025-08-14T23:59-07:00,Point-Based
